10 13
1 2 100
2 3 1
1 3 1
3 4 1
4 5 1
5 6 1
6 10 1
4 8 1 
8 10 10
1 7 100
7 5 1
6 9 1
9 10 1
2 1
10 13
1 2 100
2 3 1
1 3 1
3 4 1
4 5 1
5 6 1
6 10 1
4 8 1 
8 10 10
1 7 100
7 5 1
6 9 1
9 10 1
1 1
11 42
1 2 87
1 3 60
1 4 29
1 5 27
1 6 57
1 7 52
1 8 5
1 9 44
1 10 98
2 3 65
2 4 25
2 5 86
2 8 36
2 9 52
2 10 77
2 11 96
3 4 53
3 6 51
3 7 91
3 9 38
3 10 28
3 11 94
4 6 18
4 7 62
4 8 29
4 9 72
4 10 42
4 11 88
5 10 41
5 11 72
6 7 22
6 8 72
6 9 18
6 10 92
7 8 2
7 10 38
7 11 39
8 9 4
8 10 29
8 11 60
9 11 65
10 11 6
8 1
19 135
1 2 1
1 3 77
1 4 34
1 5 27
1 6 68
1 8 26
1 9 12
1 10 76
1 11 81
1 12 49
1 15 36
1 17 48
1 18 59
1 19 41
2 3 16
2 4 35
2 5 47
2 6 58
2 8 79
2 9 59
2 11 79
2 14 83
2 15 58
2 16 62
2 17 35
2 18 69
2 19 39
3 4 96
3 5 89
3 6 96
3 8 96
3 10 23
3 11 71
3 13 17
3 14 41
3 16 72
3 17 58
3 18 10
3 19 26
4 5 84
4 6 77
4 7 80
4 10 68
4 11 32
4 12 85
4 13 49
4 14 98
4 15 46
4 16 27
4 17 51
4 18 27
4 19 1
5 6 18
5 8 46
5 9 12
5 10 38
5 11 47
5 12 4
5 13 52
5 14 19
5 15 15
5 16 15
5 17 100
5 19 94
6 7 71
6 8 34
6 9 48
6 10 57
6 11 59
6 13 71
6 15 68
6 16 38
6 17 51
6 18 74
6 19 19
7 10 58
7 12 59
7 13 12
7 14 73
7 15 65
7 19 83
8 9 96
8 10 13
8 11 1
8 12 95
8 13 64
8 14 21
8 15 86
8 16 77
8 17 33
8 19 51
9 10 20
9 11 56
9 13 45
9 14 48
9 15 65
9 17 65
9 18 91
9 19 76
10 11 75
10 12 94
10 14 48
10 15 7
10 16 75
10 17 88
10 18 95
11 12 56
11 15 100
11 16 32
11 17 74
11 18 67
11 19 20
12 13 89
12 14 60
12 16 57
12 18 61
12 19 94
13 14 65
13 15 38
13 16 29
13 17 92
13 18 26
13 19 19
14 15 38
14 16 14
14 17 91
14 19 47
15 16 34
15 17 12
15 18 52
15 19 57
16 19 77
17 18 74
17 19 68
18 19 79
14 1
19 135
1 2 1
1 3 77
1 4 34
1 5 27
1 6 68
1 8 26
1 9 12
1 10 76
1 11 81
1 12 49
1 15 36
1 17 48
1 18 59
1 19 41
2 3 16
2 4 35
2 5 47
2 6 58
2 8 79
2 9 59
2 11 79
2 14 83
2 15 58
2 16 62
2 17 35
2 18 69
2 19 39
3 4 96
3 5 89
3 6 96
3 8 96
3 10 23
3 11 71
3 13 17
3 14 41
3 16 72
3 17 58
3 18 10
3 19 26
4 5 84
4 6 77
4 7 80
4 10 68
4 11 32
4 12 85
4 13 49
4 14 98
4 15 46
4 16 27
4 17 51
4 18 27
4 19 1
5 6 18
5 8 46
5 9 12
5 10 38
5 11 47
5 12 4
5 13 52
5 14 19
5 15 15
5 16 15
5 17 100
5 19 94
6 7 71
6 8 34
6 9 48
6 10 57
6 11 59
6 13 71
6 15 68
6 16 38
6 17 51
6 18 74
6 19 19
7 10 58
7 12 59
7 13 12
7 14 73
7 15 65
7 19 83
8 9 96
8 10 13
8 11 1
8 12 95
8 13 64
8 14 21
8 15 86
8 16 77
8 17 33
8 19 51
9 10 20
9 11 56
9 13 45
9 14 48
9 15 65
9 17 65
9 18 91
9 19 76
10 11 75
10 12 94
10 14 48
10 15 7
10 16 75
10 17 88
10 18 95
11 12 56
11 15 100
11 16 32
11 17 74
11 18 67
11 19 20
12 13 89
12 14 60
12 16 57
12 18 61
12 19 94
13 14 65
13 15 38
13 16 29
13 17 92
13 18 26
13 19 19
14 15 38
14 16 14
14 17 91
14 19 47
15 16 34
15 17 12
15 18 52
15 19 57
16 19 77
17 18 74
17 19 68
18 19 79
15 1
86 3168
1 2 8617
1 3 15300
1 4 22516
1 5 3365
1 6 24233
1 8 23288
1 9 26663
1 10 23388
1 12 6465
1 15 14915
1 16 22789
1 18 1745
1 19 14944
1 20 3054
1 21 20867
1 22 19810
1 23 24936
1 24 1812
1 26 14980
1 27 31145
1 28 16562
1 29 87
1 30 26031
1 31 31534
1 32 30622
1 33 18564
1 34 14339
1 35 32709
1 37 29135
1 39 1662
1 41 19904
1 42 29588
1 43 22010
1 44 5195
1 45 741
1 46 11751
1 47 15201
1 48 10290
1 49 25526
1 50 30034
1 51 16380
1 53 14170
1 55 7913
1 56 23121
1 57 7016
1 58 10291
1 59 17405
1 60 2407
1 62 30470
1 63 12444
1 64 18662
1 65 22339
1 66 30471
1 68 25047
1 69 9497
1 70 906
1 71 21781
1 72 26695
1 73 13817
1 74 13389
1 75 11092
1 76 23835
1 77 28331
1 78 16631
1 79 19971
1 80 15895
1 81 25702
1 82 15159
1 83 1948
1 84 7932
1 85 11855
1 86 8115
2 3 31915
2 4 11782
2 5 25569
2 6 14325
2 7 16759
2 8 27444
2 9 20268
2 11 28682
2 12 3575
2 15 2808
2 16 4366
2 17 25008
2 18 14195
2 19 24911
2 20 1637
2 21 3924
2 23 16772
2 24 12039
2 26 5607
2 27 11427
2 29 32740
2 30 29750
2 31 14148
2 32 28981
2 33 691
